epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,lr,duration_seconds
40,0.6890023946762085,0.7845489978790283,0.6217105388641357,0.678839921951294,0.5320612788200378,0.7476922869682312,0.6585254669189453,0.5519572734259642,0.7523923516273499,0.8116956949234009,0.5884692072868347,0.7056974172592163,0.6666666865348816,0.5266903638839722,0.8666666746139526,0.5670641596828189,9.054634122155989e-05,31.34
41,0.6971153616905212,0.7914621829986572,0.6248604655265808,0.6854461431503296,0.5414382219314575,0.7386713624000549,0.675564706325531,0.5454152103226918,0.7141148447990417,0.8074444532394409,0.6317411661148071,0.6990572810173035,0.5570651888847351,0.7295373678207397,0.7063062787055969,0.5421042963862419,9.008439059511098e-05,31.29
42,0.685546875,0.7860677242279053,0.619108259677887,0.6756792068481445,0.5279329419136047,0.748350203037262,0.6529774069786072,0.5482241743459151,0.6686602830886841,0.7999327182769775,0.6231292486190796,0.6637524366378784,0.5044052600860596,0.8149465918540955,0.5945945978164673,0.544824198952743,8.961267311259666e-05,31.16
43,0.6843449473381042,0.7859727144241333,0.6208265423774719,0.6752312183380127,0.5263158082962036,0.7567092180252075,0.6468172669410706,0.5472604557871819,0.7057416439056396,0.8112788796424866,0.6360946893692017,0.6945533752441406,0.5443037748336792,0.7651245594024658,0.6756756901741028,0.5343391246029309,8.913130516324732e-05,31.1
44,0.6879507303237915,0.7870420813560486,0.622432291507721,0.6782625913619995,0.5305237174034119,0.7528584003448486,0.654267430305481,0.5479502526040261,0.6674641370773315,0.806617259979248,0.6293333172798157,0.6639074087142944,0.5031982660293579,0.8398576378822327,0.5801801681518555,0.5369131873760905,8.864040551740156e-05,31.16
45,0.6837440133094788,0.7837237119674683,0.6235020756721497,0.6754344701766968,0.5254748463630676,0.7664907574653625,0.6408032774925232,0.5497972331941128,0.6650717854499817,0.8012888431549072,0.6266666650772095,0.6614894866943359,0.5010660886764526,0.836298942565918,0.5783783793449402,0.5411527763519969,8.814009529720153e-05,31.15
46,0.6926081776618958,0.7897068858146667,0.6274580955505371,0.6829106211662292,0.5352594256401062,0.758029043674469,0.6586812734603882,0.5455014997949967,0.6626794338226318,0.8084062933921814,0.628947377204895,0.6598684191703796,0.4989561438560486,0.8505337834358215,0.5675675868988037,0.5382283266101565,8.763049794670775e-05,31.11
47,0.698167085647583,0.79068922996521,0.6333272457122803,0.6884241104125977,0.5418488383293152,0.7619674801826477,0.6649920344352722,0.5447497161535116,0.6686602830886841,0.8090859651565552,0.6291834115982056,0.6648619771003723,0.504291832447052,0.836298942565918,0.5837838053703308,0.5294770779354232,8.711173920144117e-05,31.19
48,0.6938101053237915,0.7913703918457031,0.6260550618171692,0.6834167242050171,0.5373228192329407,0.7498900890350342,0.6646884083747864,0.5417929922158902,0.739234447479248,0.8120418787002563,0.6228373646736145,0.711784303188324,0.6060606241226196,0.6405693888664246,0.7891891598701477,0.5691426428300994,8.658394705735987e-05,31.44
49,0.6893028616905212,0.7861929535865784,0.6326820850372314,0.6817406415939331,0.5303752422332764,0.7838908433914185,0.6402828693389893,0.549298670142889,0.7272727489471436,0.8105350732803345,0.6187291145324707,0.7032192945480347,0.5835962295532227,0.6583629846572876,0.7621621489524841,0.5523587124688285,8.604725173927785e-05,31.29
50,0.6927584409713745,0.7914254665374756,0.6249770522117615,0.6823829412460327,0.5353440046310425,0.75066077709198,0.6627907156944275,0.541786467226652,0.5968899726867676,0.7951653003692627,0.605847954750061,0.5966815948486328,0.45121949911117554,0.9217081665992737,0.4324324429035187,0.5753097512892315,8.55017856687341e-05,31.94
51,0.6875,0.7892659902572632,0.6265709400177002,0.6789532899856567,0.5294296145439148,0.7673702836036682,0.6460520029067993,0.5432222528526416,0.7488038539886475,0.8114392161369324,0.6139705777168274,0.7139002084732056,0.6349809765815735,0.5943060517311096,0.8270270228385925,0.5678470017654556,8.494768343131955e-05,31.13
